rikisfang,ar,n
Þýskaland,2016,310
Þýskaland,2017,345
Þýskaland,2018,396
Þýskaland,2019,398
Þýskaland,2020,385
Þýskaland,2021,422
Þýskaland,2022,446
Þýskaland,2023,480
Þýskaland,2024,498
Eistland,1998,5
Eistland,1999,8
Eistland,2000,8
Eistland,2001,21
Eistland,2002,24
Eistland,2003,21
Eistland,2004,24
Eistland,2005,23
Eistland,2006,25
Eistland,2007,37
Eistland,2008,46
Eistland,2009,57
Eistland,2010,51
Eistland,2011,41
Eistland,2012,38
Eistland,2013,32
Eistland,2014,33
Eistland,2015,32
Eistland,2016,39
Eistland,2017,41
Eistland,2018,50
Eistland,2019,50
Eistland,2020,50
Eistland,2021,68
Eistland,2022,90
Eistland,2023,94
Eistland,2024,142
Spánn,1998,43
Spánn,1999,52
Spánn,2000,52
Spánn,2001,59
Spánn,2002,64
Spánn,2003,73
Spánn,2004,68
Spánn,2005,60
Spánn,2006,70
Spánn,2007,74
Spánn,2008,85
Spánn,2009,102
Spánn,2010,107
Spánn,2011,110
Spánn,2012,87
Spánn,2013,98
Spánn,2014,160
Spánn,2015,227
Spánn,2016,257
Spánn,2017,330
Spánn,2018,427
Spánn,2019,470
Spánn,2020,556
Spánn,2021,555
Spánn,2022,648
Spánn,2023,780
Spánn,2024,854
Frakkland,1998,45
Frakkland,1999,53
Frakkland,2000,63
Frakkland,2001,78
Frakkland,2002,94
Frakkland,2003,80
Frakkland,2004,66
Frakkland,2005,70
Frakkland,2006,82
Frakkland,2007,85
Frakkland,2008,105
Frakkland,2009,130
Frakkland,2010,151
Frakkland,2011,114
Frakkland,2012,111
Frakkland,2013,106
Frakkland,2014,135
Frakkland,2015,162
Frakkland,2016,182
Frakkland,2017,201
Frakkland,2018,245
Frakkland,2019,292
Frakkland,2020,306
Frakkland,2021,313
Frakkland,2022,330
Frakkland,2023,364
Frakkland,2024,389
Bretland,1998,185
Bretland,1999,198
Bretland,2000,216
Bretland,2001,246
Bretland,2002,277
Bretland,2003,260
Bretland,2004,234
Bretland,2005,215
Bretland,2006,248
Bretland,2007,287
Bretland,2008,324
Bretland,2009,372
Bretland,2010,379
Bretland,2011,339
Bretland,2012,355
Bretland,2013,360
Bretland,2014,385
Bretland,2015,402
Bretland,2016,440
Bretland,2017,502
Bretland,2018,540
Bretland,2019,586
Bretland,2020,648
Bretland,2021,667
Bretland,2022,619
Bretland,2023,630
Bretland,2024,619
Grikkland,1998,3
Grikkland,1999,6
Grikkland,2000,5
Grikkland,2001,4
Grikkland,2002,6
Grikkland,2003,6
Grikkland,2004,6
Grikkland,2005,5
Grikkland,2006,6
Grikkland,2007,8
Grikkland,2008,9
Grikkland,2009,5
Grikkland,2010,7
Grikkland,2011,8
Grikkland,2012,10
Grikkland,2013,13
Grikkland,2014,17
Grikkland,2015,19
Grikkland,2016,28
Grikkland,2017,44
Grikkland,2018,84
Grikkland,2019,122
Grikkland,2020,142
Grikkland,2021,150
Grikkland,2022,199
Grikkland,2023,271
Grikkland,2024,364
Ungverjaland,1998,18
Ungverjaland,1999,21
Ungverjaland,2000,22
Ungverjaland,2001,18
Ungverjaland,2002,18
Ungverjaland,2003,19
Ungverjaland,2004,19
Ungverjaland,2005,19
Ungverjaland,2006,21
Ungverjaland,2007,27
Ungverjaland,2008,48
Ungverjaland,2009,99
Ungverjaland,2010,69
Ungverjaland,2011,58
Ungverjaland,2012,54
Ungverjaland,2013,59
Ungverjaland,2014,69
Ungverjaland,2015,85
Ungverjaland,2016,107
Ungverjaland,2017,153
Ungverjaland,2018,235
Ungverjaland,2019,232
Ungverjaland,2020,269
Ungverjaland,2021,275
Ungverjaland,2022,296
Ungverjaland,2023,384
Ungverjaland,2024,429
Írland,1998,22
Írland,1999,30
Írland,2000,24
Írland,2001,25
Írland,2002,29
Írland,2003,26
Írland,2004,22
Írland,2005,16
Írland,2006,20
Írland,2007,26
Írland,2008,33
Írland,2009,38
Írland,2010,45
Írland,2011,34
Írland,2012,40
Írland,2013,43
Írland,2014,41
Írland,2015,38
Írland,2016,43
Írland,2017,51
Írland,2018,55
Írland,2019,60
Írland,2020,76
Írland,2021,91
Írland,2022,86
Írland,2023,101
Írland,2024,106
Ítalía,1998,19
Ítalía,1999,21
Ítalía,2000,25
Ítalía,2001,44
Ítalía,2002,53
Ítalía,2003,62
Ítalía,2004,67
Ítalía,2005,183
Ítalía,2006,233
Ítalía,2007,242
Ítalía,2008,185
Ítalía,2009,159
Ítalía,2010,112
Ítalía,2011,90
Ítalía,2012,71
Ítalía,2013,82
Ítalía,2014,101
Ítalía,2015,118
Ítalía,2016,137
Ítalía,2017,161
Ítalía,2018,213
Ítalía,2019,246
Ítalía,2020,277
Ítalía,2021,295
Ítalía,2022,403
Ítalía,2023,483
Ítalía,2024,525
Litháen (Lietuva),1998,8
Litháen (Lietuva),1999,14
Litháen (Lietuva),2000,28
Litháen (Lietuva),2001,95
Litháen (Lietuva),2002,152
Litháen (Lietuva),2003,183
Litháen (Lietuva),2004,195
Litháen (Lietuva),2005,211
Litháen (Lietuva),2006,335
Litháen (Lietuva),2007,616
Litháen (Lietuva),2008,921
Litháen (Lietuva),2009,1014
Litháen (Lietuva),2010,879
Litháen (Lietuva),2011,755
Litháen (Lietuva),2012,761
Litháen (Lietuva),2013,765
Litháen (Lietuva),2014,790
Litháen (Lietuva),2015,788
Litháen (Lietuva),2016,887
Litháen (Lietuva),2017,1324
Litháen (Lietuva),2018,2002
Litháen (Lietuva),2019,2375
Litháen (Lietuva),2020,2466
Litháen (Lietuva),2021,2389
Litháen (Lietuva),2022,2491
Litháen (Lietuva),2023,2753
Litháen (Lietuva),2024,2960
Lúxemborg,1998,0
Lúxemborg,1999,1
Lúxemborg,2000,1
Lúxemborg,2001,2
Lúxemborg,2002,2
Lúxemborg,2003,2
Lúxemborg,2004,1
Lúxemborg,2005,1
Lúxemborg,2006,1
Lúxemborg,2007,2
Lúxemborg,2008,2
Lúxemborg,2009,3
Lúxemborg,2010,3
Lúxemborg,2011,2
Lúxemborg,2012,3
Lúxemborg,2013,3
Lúxemborg,2014,3
Lúxemborg,2015,3
Lúxemborg,2016,3
Lúxemborg,2017,4
Lúxemborg,2018,6
Lúxemborg,2019,5
Lúxemborg,2020,6
Lúxemborg,2021,6
Lúxemborg,2022,8
Lúxemborg,2023,8
Lúxemborg,2024,9
Lettland (Latvija),1998,1
Lettland (Latvija),1999,4
Lettland (Latvija),2000,7
Lettland (Latvija),2001,26
Lettland (Latvija),2002,35
Lettland (Latvija),2003,41
Lettland (Latvija),2004,36
Lettland (Latvija),2005,36
Lettland (Latvija),2006,95
Lettland (Latvija),2007,215
Lettland (Latvija),2008,287
Lettland (Latvija),2009,366
Lettland (Latvija),2010,334
Lettland (Latvija),2011,290
Lettland (Latvija),2012,298
Lettland (Latvija),2013,297
Lettland (Latvija),2014,308
Lettland (Latvija),2015,325
Lettland (Latvija),2016,363
Lettland (Latvija),2017,430
Lettland (Latvija),2018,840
Lettland (Latvija),2019,1067
Lettland (Latvija),2020,1055
Lettland (Latvija),2021,1107
Lettland (Latvija),2022,1238
Lettland (Latvija),2023,1429
Lettland (Latvija),2024,1564
Malta,1998,0
Malta,1999,0
Malta,2000,0
Malta,2001,0
Malta,2002,0
Malta,2003,0
Malta,2004,0
Malta,2005,0
Malta,2006,0
Malta,2007,0
Malta,2008,3
Malta,2009,3
Malta,2010,2
Malta,2011,1
Malta,2012,1
Malta,2013,2
Malta,2014,3
Malta,2015,7
Malta,2016,5
Malta,2017,5
Malta,2018,6
Malta,2019,8
Malta,2020,8
Malta,2021,9
Malta,2022,14
Malta,2023,13
Malta,2024,11
Holland (Niðurland),1998,47
Holland (Niðurland),1999,47
Holland (Niðurland),2000,55
Holland (Niðurland),2001,55
Holland (Niðurland),2002,61
Holland (Niðurland),2003,65
Holland (Niðurland),2004,63
Holland (Niðurland),2005,63
Holland (Niðurland),2006,64
Holland (Niðurland),2007,73
Holland (Niðurland),2008,85
Holland (Niðurland),2009,87
Holland (Niðurland),2010,92
Holland (Niðurland),2011,75
Holland (Niðurland),2012,74
Holland (Niðurland),2013,73
Holland (Niðurland),2014,77
Holland (Niðurland),2015,81
Holland (Niðurland),2016,84
Holland (Niðurland),2017,97
Holland (Niðurland),2018,111
Holland (Niðurland),2019,124
Holland (Niðurland),2020,132
Holland (Niðurland),2021,129
Holland (Niðurland),2022,138
Holland (Niðurland),2023,151
Holland (Niðurland),2024,165
Pólland,1998,287
Pólland,1999,432
Pólland,2000,510
Pólland,2001,697
Pólland,2002,826
Pólland,2003,909
Pólland,2004,947
Pólland,2005,987
Pólland,2006,2111
Pólland,2007,4376
Pólland,2008,6840
Pólland,2009,6941
Pólland,2010,5580
Pólland,2011,4538
Pólland,2012,4547
Pólland,2013,4807
Pólland,2014,5267
Pólland,2015,5787
Pólland,2016,6316
Pólland,2017,7684
Pólland,2018,9695
Pólland,2019,10803
Pólland,2020,11013
Pólland,2021,10729
Pólland,2022,10855
Pólland,2023,12235
Pólland,2024,13187
Portúgal,1998,46
Portúgal,1999,48
Portúgal,2000,52
Portúgal,2001,72
Portúgal,2002,75
Portúgal,2003,64
Portúgal,2004,64
Portúgal,2005,311
Portúgal,2006,359
Portúgal,2007,624
Portúgal,2008,778
Portúgal,2009,564
Portúgal,2010,412
Portúgal,2011,278
Portúgal,2012,268
Portúgal,2013,286
Portúgal,2014,319
Portúgal,2015,349
Portúgal,2016,381
Portúgal,2017,478
Portúgal,2018,591
Portúgal,2019,739
Portúgal,2020,768
Portúgal,2021,736
Portúgal,2022,787
Portúgal,2023,942
Portúgal,2024,1056
Rúmenía,1998,6
Rúmenía,1999,10
Rúmenía,2000,22
Rúmenía,2001,36
Rúmenía,2002,42
Rúmenía,2003,45
Rúmenía,2004,47
Rúmenía,2005,54
Rúmenía,2006,62
Rúmenía,2007,69
Rúmenía,2008,91
Rúmenía,2009,102
Rúmenía,2010,81
Rúmenía,2011,68
Rúmenía,2012,72
Rúmenía,2013,98
Rúmenía,2014,118
Rúmenía,2015,156
Rúmenía,2016,225
Rúmenía,2017,332
Rúmenía,2018,620
Rúmenía,2019,916
Rúmenía,2020,1151
Rúmenía,2021,1200
Rúmenía,2022,1501
Rúmenía,2023,2052
Rúmenía,2024,2425
Slóvenía,1998,3
Slóvenía,1999,3
Slóvenía,2000,7
Slóvenía,2001,6
Slóvenía,2002,6
Slóvenía,2003,4
Slóvenía,2004,4
Slóvenía,2005,4
Slóvenía,2006,5
Slóvenía,2007,46
Slóvenía,2008,34
Slóvenía,2009,22
Slóvenía,2010,16
Slóvenía,2011,6
Slóvenía,2012,8
Slóvenía,2013,7
Slóvenía,2014,12
Slóvenía,2015,11
Slóvenía,2016,11
Slóvenía,2017,11
Slóvenía,2018,21
Slóvenía,2019,28
Slóvenía,2020,37
Slóvenía,2021,37
Slóvenía,2022,38
Slóvenía,2023,39
Slóvenía,2024,39
Slóvakía,1998,6
Slóvakía,1999,7
Slóvakía,2000,11
Slóvakía,2001,12
Slóvakía,2002,23
Slóvakía,2003,26
Slóvakía,2004,34
Slóvakía,2005,61
Slóvakía,2006,68
Slóvakía,2007,169
Slóvakía,2008,168
Slóvakía,2009,249
Slóvakía,2010,164
Slóvakía,2011,71
Slóvakía,2012,77
Slóvakía,2013,79
Slóvakía,2014,103
Slóvakía,2015,139
Slóvakía,2016,143
Slóvakía,2017,210
Slóvakía,2018,246
Slóvakía,2019,257
Slóvakía,2020,253
Slóvakía,2021,198
Slóvakía,2022,239
Slóvakía,2023,280
Slóvakía,2024,304
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
Andorra,2001,0
Andorra,2002,0
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Andorra,2013,0
Andorra,2014,0
Andorra,2015,0
Andorra,2016,0
Andorra,2017,0
Andorra,2018,0
Andorra,2019,0
Andorra,2020,1
Andorra,2021,0
Andorra,2022,0
Andorra,2023,0
Andorra,2024,0
Albanía,1998,2
Albanía,1999,2
Albanía,2000,4
Albanía,2001,7
Albanía,2002,12
Albanía,2003,11
Albanía,2004,12
Albanía,2005,12
Albanía,2006,13
Albanía,2007,12
Albanía,2008,11
Albanía,2009,7
Albanía,2010,6
Albanía,2011,7
Albanía,2012,8
Albanía,2013,7
Albanía,2014,9
Albanía,2015,12
Albanía,2016,18
Albanía,2017,34
Albanía,2018,61
Albanía,2019,87
Albanía,2020,102
Albanía,2021,120
Albanía,2022,133
Albanía,2023,153
Albanía,2024,177
Bosnia og Herzegovina,1998,10
Bosnia og Herzegovina,1999,14
Bosnia og Herzegovina,2000,17
Bosnia og Herzegovina,2001,33
Bosnia og Herzegovina,2002,37
Bosnia og Herzegovina,2003,43
Bosnia og Herzegovina,2004,42
Bosnia og Herzegovina,2005,47
Bosnia og Herzegovina,2006,52
Bosnia og Herzegovina,2007,60
Bosnia og Herzegovina,2008,45
Bosnia og Herzegovina,2009,41
Bosnia og Herzegovina,2010,34
Bosnia og Herzegovina,2011,28
Bosnia og Herzegovina,2012,25
Bosnia og Herzegovina,2013,17
Bosnia og Herzegovina,2014,14
Bosnia og Herzegovina,2015,12
Bosnia og Herzegovina,2016,11
Bosnia og Herzegovina,2017,15
Bosnia og Herzegovina,2018,48
Bosnia og Herzegovina,2019,28
Bosnia og Herzegovina,2020,50
Bosnia og Herzegovina,2021,56
Bosnia og Herzegovina,2022,69
Bosnia og Herzegovina,2023,48
Bosnia og Herzegovina,2024,48
Belarús (Hvíta-Rússland),1998,2
Belarús (Hvíta-Rússland),1999,1
Belarús (Hvíta-Rússland),2000,6
Belarús (Hvíta-Rússland),2001,8
Belarús (Hvíta-Rússland),2002,8
Belarús (Hvíta-Rússland),2003,7
Belarús (Hvíta-Rússland),2004,9
Belarús (Hvíta-Rússland),2005,9
Belarús (Hvíta-Rússland),2006,11
Belarús (Hvíta-Rússland),2007,12
Belarús (Hvíta-Rússland),2008,12
Belarús (Hvíta-Rússland),2009,10
Belarús (Hvíta-Rússland),2010,9
Belarús (Hvíta-Rússland),2011,10
Belarús (Hvíta-Rússland),2012,11
Belarús (Hvíta-Rússland),2013,6
Belarús (Hvíta-Rússland),2014,7
Belarús (Hvíta-Rússland),2015,4
Belarús (Hvíta-Rússland),2016,5
Belarús (Hvíta-Rússland),2017,5
Belarús (Hvíta-Rússland),2018,8
Belarús (Hvíta-Rússland),2019,8
Belarús (Hvíta-Rússland),2020,8
Belarús (Hvíta-Rússland),2021,8
Belarús (Hvíta-Rússland),2022,6
Belarús (Hvíta-Rússland),2023,8
Belarús (Hvíta-Rússland),2024,18
Sviss,1998,10
Sviss,1999,11
Sviss,2000,9
Sviss,2001,10
Sviss,2002,12
Sviss,2003,11
Sviss,2004,12
Sviss,2005,13
Sviss,2006,15
Sviss,2007,21
Sviss,2008,28
Sviss,2009,37
Sviss,2010,31
Sviss,2011,16
Sviss,2012,20
Sviss,2013,20
Sviss,2014,19
Sviss,2015,21
Sviss,2016,24
Sviss,2017,30
Sviss,2018,32
Sviss,2019,35
Sviss,2020,35
Sviss,2021,37
Sviss,2022,47
Sviss,2023,47
Sviss,2024,38
Serbía og Svartfjallaland,1998,0
Serbía og Svartfjallaland,1999,0
Serbía og Svartfjallaland,2000,0
Serbía og Svartfjallaland,2001,0
Serbía og Svartfjallaland,2002,0
Serbía og Svartfjallaland,2003,0
Serbía og Svartfjallaland,2004,1
Serbía og Svartfjallaland,2005,17
Serbía og Svartfjallaland,2006,63
Serbía og Svartfjallaland,2007,0
Serbía og Svartfjallaland,2008,0
Serbía og Svartfjallaland,2009,0
Serbía og Svartfjallaland,2010,0
Serbía og Svartfjallaland,2011,0
Serbía og Svartfjallaland,2012,0
Serbía og Svartfjallaland,2013,0
Serbía og Svartfjallaland,2014,0
Serbía og Svartfjallaland,2015,0
Serbía og Svartfjallaland,2016,0
Serbía og Svartfjallaland,2017,0
Serbía og Svartfjallaland,2018,0
Serbía og Svartfjallaland,2019,0
Serbía og Svartfjallaland,2020,0
Serbía og Svartfjallaland,2021,0
Serbía og Svartfjallaland,2022,0
Serbía og Svartfjallaland,2023,0
Serbía og Svartfjallaland,2024,0
Króatía,1998,20
Króatía,1999,21
Króatía,2000,29
Króatía,2001,43
Króatía,2002,39
Króatía,2003,36
Króatía,2004,35
Króatía,2005,30
Króatía,2006,25
Króatía,2007,97
Króatía,2008,29
Króatía,2009,29
Króatía,2010,22
Króatía,2011,19
Króatía,2012,17
Króatía,2013,22
Króatía,2014,23
Króatía,2015,22
Króatía,2016,27
Króatía,2017,100
Króatía,2018,263
Króatía,2019,433
Króatía,2020,510
Króatía,2021,503
Króatía,2022,542
Króatía,2023,586
Króatía,2024,662
Liechtenstein,1998,0
Liechtenstein,1999,0
Liechtenstein,2000,0
Liechtenstein,2001,0
Liechtenstein,2002,0
Liechtenstein,2003,0
Liechtenstein,2004,0
Liechtenstein,2005,0
Liechtenstein,2006,0
Liechtenstein,2007,0
Liechtenstein,2008,0
Liechtenstein,2009,0
Liechtenstein,2010,0
Liechtenstein,2011,0
Liechtenstein,2012,0
Liechtenstein,2013,0
Liechtenstein,2014,1
Liechtenstein,2015,1
Liechtenstein,2016,1
Liechtenstein,2017,1
Liechtenstein,2018,1
Liechtenstein,2019,1
Liechtenstein,2020,1
Liechtenstein,2021,1
Liechtenstein,2022,1
Liechtenstein,2023,1
Liechtenstein,2024,1
Moldóva,1998,0
Moldóva,1999,0
Moldóva,2000,0
Moldóva,2001,4
Moldóva,2002,4
Moldóva,2003,4
Moldóva,2004,4
Moldóva,2005,4
Moldóva,2006,3
Moldóva,2007,5
Moldóva,2008,5
Moldóva,2009,3
Moldóva,2010,2
Moldóva,2011,3
Moldóva,2012,3
Moldóva,2013,3
Moldóva,2014,3
Moldóva,2015,4
Moldóva,2016,3
Moldóva,2017,3
Moldóva,2018,4
Moldóva,2019,5
Moldóva,2020,5
Moldóva,2021,7
Moldóva,2022,8
Moldóva,2023,15
Moldóva,2024,24
Montenegró (Svartfjallaland),1998,0
Montenegró (Svartfjallaland),1999,0
Montenegró (Svartfjallaland),2000,0
Montenegró (Svartfjallaland),2001,0
Montenegró (Svartfjallaland),2002,0
Montenegró (Svartfjallaland),2003,0
Montenegró (Svartfjallaland),2004,0
Montenegró (Svartfjallaland),2005,0
Montenegró (Svartfjallaland),2006,0
Montenegró (Svartfjallaland),2007,0
Montenegró (Svartfjallaland),2008,0
Montenegró (Svartfjallaland),2009,0
Montenegró (Svartfjallaland),2010,1
Montenegró (Svartfjallaland),2011,1
Montenegró (Svartfjallaland),2012,2
Montenegró (Svartfjallaland),2013,1
Montenegró (Svartfjallaland),2014,1
Montenegró (Svartfjallaland),2015,0
Montenegró (Svartfjallaland),2016,2
Montenegró (Svartfjallaland),2017,1
Montenegró (Svartfjallaland),2018,3
Montenegró (Svartfjallaland),2019,4
Montenegró (Svartfjallaland),2020,8
Montenegró (Svartfjallaland),2021,8
Montenegró (Svartfjallaland),2022,7
Montenegró (Svartfjallaland),2023,10
Montenegró (Svartfjallaland),2024,10
Norður Makedónía,1998,1
Norður Makedónía,1999,4
Norður Makedónía,2000,7
Norður Makedónía,2001,9
Norður Makedónía,2002,8
Norður Makedónía,2003,12
Norður Makedónía,2004,9
Norður Makedónía,2005,10
Norður Makedónía,2006,14
Norður Makedónía,2007,18
Norður Makedónía,2008,19
Norður Makedónía,2009,16
Norður Makedónía,2010,12
Norður Makedónía,2011,10
Norður Makedónía,2012,9
Norður Makedónía,2013,7
Norður Makedónía,2014,11
Norður Makedónía,2015,9
Norður Makedónía,2016,9
Norður Makedónía,2017,11
Norður Makedónía,2018,15
Norður Makedónía,2019,26
Norður Makedónía,2020,28
Norður Makedónía,2021,37
Norður Makedónía,2022,31
Norður Makedónía,2023,29
Norður Makedónía,2024,33
Serbía,1998,0
Serbía,1999,0
Serbía,2000,0
Serbía,2001,0
Serbía,2002,0
Serbía,2003,0
Serbía,2004,0
Serbía,2005,0
Serbía,2006,0
Serbía,2007,12
Serbía,2008,65
Serbía,2009,69
Serbía,2010,60
Serbía,2011,49
Serbía,2012,48
Serbía,2013,37
Serbía,2014,37
Serbía,2015,28
Serbía,2016,30
Serbía,2017,36
Serbía,2018,56
Serbía,2019,78
Serbía,2020,72
Serbía,2021,76
Serbía,2022,77
Serbía,2023,81
Serbía,2024,127
Rússland,1998,36
Rússland,1999,50
Rússland,2000,59
Rússland,2001,74
Rússland,2002,86
Rússland,2003,87
Rússland,2004,77
Rússland,2005,70
Rússland,2006,76
Rússland,2007,69
Rússland,2008,67
Rússland,2009,57
Rússland,2010,54
Rússland,2011,52
Rússland,2012,47
Rússland,2013,47
Rússland,2014,43
Rússland,2015,45
Rússland,2016,46
Rússland,2017,57
Rússland,2018,57
Rússland,2019,64
Rússland,2020,66
Rússland,2021,65
Rússland,2022,70
Rússland,2023,81
Rússland,2024,90
San Marínó,1998,0
San Marínó,1999,0
San Marínó,2000,0
San Marínó,2001,0
San Marínó,2002,0
San Marínó,2003,0
San Marínó,2004,0
San Marínó,2005,0
San Marínó,2006,0
San Marínó,2007,0
San Marínó,2008,0
San Marínó,2009,0
San Marínó,2010,0
San Marínó,2011,0
San Marínó,2012,0
San Marínó,2013,0
San Marínó,2014,0
San Marínó,2015,0
San Marínó,2016,0
San Marínó,2017,0
