date,undirvisitala,lidur,value,flokkur_1,flokkur_2,flokkur_3
2002-08-01,01 Matur og drykkjarvörur,"Vægi, %",0.1577,01 Matur og drykkjarvörur,Samtals,Samtals
2002-08-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.015,01 Matur og drykkjarvörur,Samtals,Samtals
2002-08-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-0.0024,01 Matur og drykkjarvörur,Samtals,Samtals
2002-09-01,01 Matur og drykkjarvörur,"Vægi, %",0.15839999999999999,01 Matur og drykkjarvörur,Samtals,Samtals
2002-09-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0098,01 Matur og drykkjarvörur,Samtals,Samtals
2002-09-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",0.0015,01 Matur og drykkjarvörur,Samtals,Samtals
2002-10-01,01 Matur og drykkjarvörur,"Vægi, %",0.158,01 Matur og drykkjarvörur,Samtals,Samtals
2002-10-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0025,01 Matur og drykkjarvörur,Samtals,Samtals
2002-10-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",4e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2002-11-01,01 Matur og drykkjarvörur,"Vægi, %",0.1561,01 Matur og drykkjarvörur,Samtals,Samtals
2002-11-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.013600000000000001,01 Matur og drykkjarvörur,Samtals,Samtals
2002-11-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-0.0022,01 Matur og drykkjarvörur,Samtals,Samtals
2002-12-01,01 Matur og drykkjarvörur,"Vægi, %",0.154,01 Matur og drykkjarvörur,Samtals,Samtals
2002-12-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0126,01 Matur og drykkjarvörur,Samtals,Samtals
2002-12-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-0.002,01 Matur og drykkjarvörur,Samtals,Samtals
2003-01-01,01 Matur og drykkjarvörur,"Vægi, %",0.1555,01 Matur og drykkjarvörur,Samtals,Samtals
2003-01-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0132,01 Matur og drykkjarvörur,Samtals,Samtals
2003-01-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",0.002,01 Matur og drykkjarvörur,Samtals,Samtals
2003-02-01,01 Matur og drykkjarvörur,"Vægi, %",0.15560000000000002,01 Matur og drykkjarvörur,Samtals,Samtals
2003-02-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-8e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-02-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-1e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-03-01,01 Matur og drykkjarvörur,"Vægi, %",0.1537,01 Matur og drykkjarvörur,Samtals,Samtals
2003-03-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.002,01 Matur og drykkjarvörur,Samtals,Samtals
2003-03-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-3e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-04-01,01 Matur og drykkjarvörur,"Vægi, %",0.15109999999999998,01 Matur og drykkjarvörur,Samtals,Samtals
2003-04-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0033,01 Matur og drykkjarvörur,Samtals,Samtals
2003-04-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-5e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-05-01,01 Matur og drykkjarvörur,"Vægi, %",0.15039999999999998,01 Matur og drykkjarvörur,Samtals,Samtals
2003-05-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0060999999999999995,01 Matur og drykkjarvörur,Samtals,Samtals
2003-05-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-9e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-06-01,01 Matur og drykkjarvörur,"Vægi, %",0.1506,01 Matur og drykkjarvörur,Samtals,Samtals
2003-06-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0018,01 Matur og drykkjarvörur,Samtals,Samtals
2003-06-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",3e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-07-01,01 Matur og drykkjarvörur,"Vægi, %",0.1496,01 Matur og drykkjarvörur,Samtals,Samtals
2003-07-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0077,01 Matur og drykkjarvörur,Samtals,Samtals
2003-07-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-0.0012,01 Matur og drykkjarvörur,Samtals,Samtals
2003-08-01,01 Matur og drykkjarvörur,"Vægi, %",0.1495,01 Matur og drykkjarvörur,Samtals,Samtals
2003-08-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0015,01 Matur og drykkjarvörur,Samtals,Samtals
2003-08-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-2e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-09-01,01 Matur og drykkjarvörur,"Vægi, %",0.14859999999999998,01 Matur og drykkjarvörur,Samtals,Samtals
2003-09-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0013,01 Matur og drykkjarvörur,Samtals,Samtals
2003-09-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",2e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-10-01,01 Matur og drykkjarvörur,"Vægi, %",0.1496,01 Matur og drykkjarvörur,Samtals,Samtals
2003-10-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0108,01 Matur og drykkjarvörur,Samtals,Samtals
2003-10-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",0.0016,01 Matur og drykkjarvörur,Samtals,Samtals
2003-11-01,01 Matur og drykkjarvörur,"Vægi, %",0.1499,01 Matur og drykkjarvörur,Samtals,Samtals
2003-11-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.0037,01 Matur og drykkjarvörur,Samtals,Samtals
2003-11-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",6e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2003-12-01,01 Matur og drykkjarvörur,"Vægi, %",0.1487,01 Matur og drykkjarvörur,Samtals,Samtals
2003-12-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0048,01 Matur og drykkjarvörur,Samtals,Samtals
2003-12-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-7.000000000000001e-4,01 Matur og drykkjarvörur,Samtals,Samtals
2004-01-01,01 Matur og drykkjarvörur,"Vægi, %",0.1506,01 Matur og drykkjarvörur,Samtals,Samtals
2004-01-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",0.013000000000000001,01 Matur og drykkjarvörur,Samtals,Samtals
2004-01-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",0.0019,01 Matur og drykkjarvörur,Samtals,Samtals
2004-02-01,01 Matur og drykkjarvörur,"Vægi, %",0.15,01 Matur og drykkjarvörur,Samtals,Samtals
2004-02-01,01 Matur og drykkjarvörur,"Mánaðarbreyting, %",-0.0072,01 Matur og drykkjarvörur,Samtals,Samtals
2004-02-01,01 Matur og drykkjarvörur,"Áhrif á vísitölu, %",-0.0011,01 Matur og drykkjarvörur,Samtals,Samtals
